# f, o1, x1, o2, x2, o3, x3, o4, x4
1.0000e+01 4.9387e-01 4.9387e-01 4.9387e-01 4.9387e-01 1.5618e+00 1.5618e+00 1.5618e+00 1.5618e+00
1.0090e+01 5.0281e-01 5.0281e-01 5.0281e-01 5.0281e-01 1.5900e+00 1.5900e+00 1.5900e+00 1.5900e+00
1.0180e+01 5.1183e-01 5.1181e-01 5.1183e-01 5.1183e-01 1.6185e+00 1.6185e+00 1.6185e+00 1.6185e+00
1.0270e+01 5.2093e-01 5.2086e-01 5.2093e-01 5.2093e-01 1.6473e+00 1.6473e+00 1.6473e+00 1.6473e+00
1.0360e+01 5.3011e-01 5.2986e-01 5.3011e-01 5.3011e-01 1.6763e+00 1.6763e+00 1.6763e+00 1.6763e+00
1.0450e+01 5.3937e-01 5.3862e-01 5.3937e-01 5.3937e-01 1.7056e+00 1.7056e+00 1.7056e+00 1.7056e+00
1.0541e+01 5.4871e-01 5.4682e-01 5.4871e-01 5.4871e-01 1.7352e+00 1.7352e+00 1.7352e+00 1.7352e+00
1.0631e+01 5.5813e-01 5.5391e-01 5.5813e-01 5.5813e-01 1.7650e+00 1.7650e+00 1.7650e+00 1.7650e+00
1.0721e+01 5.6763e-01 5.5919e-01 5.6763e-01 5.6763e-01 1.7950e+00 1.7950e+00 1.7950e+00 1.7950e+00
1.0811e+01 5.7721e-01 5.6187e-01 5.7721e-01 5.7721e-01 1.8253e+00 1.8253e+00 1.8253e+00 1.8253e+00
1.0901e+01 5.8687e-01 5.6119e-01 5.8687e-01 5.8687e-01 1.8558e+00 1.8558e+00 1.8558e+00 1.8558e+00
1.0991e+01 5.9661e-01 5.5650e-01 5.9661e-01 5.9661e-01 1.8866e+00 1.8866e+00 1.8866e+00 1.8866e+00
1.1081e+01 6.0643e-01 5.4744e-01 6.0643e-01 6.0643e-01 1.9177e+00 1.9177e+00 1.9177e+00 1.9177e+00
1.1171e+01 6.1632e-01 5.3392e-01 6.1633e-01 6.1633e-01 1.9490e+00 1.9490e+00 1.9490e+00 1.9490e+00
1.1261e+01 6.2626e-01 5.1618e-01 6.2631e-01 6.2631e-01 1.9806e+00 1.9806e+00 1.9806e+00 1.9806e+00
1.1351e+01 6.3620e-01 4.9469e-01 6.3637e-01 6.3637e-01 2.0124e+00 2.0124e+00 2.0124e+00 2.0124e+00
1.1441e+01 6.4596e-01 4.7009e-01 6.4651e-01 6.4651e-01 2.0444e+00 2.0444e+00 2.0444e+00 2.0444e+00
1.1532e+01 6.5525e-01 4.4316e-01 6.5673e-01 6.5673e-01 2.0768e+00 2.0768e+00 2.0768e+00 2.0768e+00
1.1622e+01 6.6355e-01 4.1467e-01 6.6703e-01 6.6703e-01 2.1093e+00 2.1093e+00 2.1093e+00 2.1093e+00
1.1712e+01 6.7014e-01 3.8536e-01 6.7742e-01 6.7742e-01 2.1422e+00 2.1422e+00 2.1422e+00 2.1422e+00
1.1802e+01 6.7416e-01 3.5590e-01 6.8788e-01 6.8788e-01 2.1753e+00 2.1753e+00 2.1753e+00 2.1753e+00
1.1892e+01 6.7467e-01 3.2687e-01 6.9842e-01 6.9842e-01 2.2086e+00 2.2086e+00 2.2086e+00 2.2086e+00
1.1982e+01 6.7086e-01 2.9871e-01 7.0904e-01 7.0904e-01 2.2422e+00 2.2422e+00 2.2422e+00 2.2422e+00
1.2072e+01 6.6216e-01 2.7178e-01 7.1974e-01 7.1974e-01 2.2760e+00 2.2760e+00 2.2760e+00 2.2760e+00
1.2162e+01 6.4829e-01 2.4632e-01 7.3053e-01 7.3053e-01 2.3101e+00 2.3101e+00 2.3101e+00 2.3101e+00
