# freq, I_pwr, V_pwr, I_th, V_th
1.0000e+01 1.8856e+01 6.1999e+00 9.8774e-01 0.0000e+00
1.0090e+01 1.9045e+01 6.4005e+00 1.0056e+00 0.0000e+00
1.0180e+01 1.9227e+01 6.5959e+00 1.0237e+00 0.0000e+00
1.0270e+01 1.9402e+01 6.7858e+00 1.0419e+00 0.0000e+00
1.0360e+01 1.9568e+01 6.9699e+00 1.0602e+00 0.0000e+00
1.0450e+01 1.9727e+01 7.1479e+00 1.0787e+00 0.0000e+00
1.0541e+01 1.9878e+01 7.3198e+00 1.0974e+00 0.0000e+00
1.0631e+01 2.0020e+01 7.4853e+00 1.1163e+00 0.0000e+00
1.0721e+01 2.0155e+01 7.6444e+00 1.1353e+00 0.0000e+00
1.0811e+01 2.0281e+01 7.7969e+00 1.1544e+00 0.0000e+00
1.0901e+01 2.0400e+01 7.9428e+00 1.1737e+00 0.0000e+00
1.0991e+01 2.0510e+01 8.0821e+00 1.1932e+00 0.0000e+00
1.1081e+01 2.0613e+01 8.2147e+00 1.2129e+00 0.0000e+00
1.1171e+01 2.0708e+01 8.3407e+00 1.2327e+00 0.0000e+00
1.1261e+01 2.0795e+01 8.4601e+00 1.2526e+00 0.0000e+00
1.1351e+01 2.0874e+01 8.5730e+00 1.2727e+00 0.0000e+00
1.1441e+01 2.0946e+01 8.6795e+00 1.2930e+00 0.0000e+00
1.1532e+01 2.1011e+01 8.7795e+00 1.3135e+00 0.0000e+00
1.1622e+01 2.1069e+01 8.8733e+00 1.3341e+00 0.0000e+00
1.1712e+01 2.1120e+01 8.9610e+00 1.3548e+00 0.0000e+00
1.1802e+01 2.1164e+01 9.0426e+00 1.3758e+00 0.0000e+00
1.1892e+01 2.1201e+01 9.1184e+00 1.3968e+00 0.0000e+00
1.1982e+01 2.1232e+01 9.1884e+00 1.4181e+00 0.0000e+00
1.2072e+01 2.1257e+01 9.2528e+00 1.4395e+00 0.0000e+00
1.2162e+01 2.1276e+01 9.3118e+00 1.4611e+00 0.0000e+00
1.2252e+01 2.1289e+01 9.3655e+00 1.4828e+00 0.0000e+00
1.2342e+01 2.1296e+01 9.4141e+00 1.5047e+00 0.0000e+00
1.2432e+01 2.1298e+01 9.4577e+00 1.5267e+00 0.0000e+00
1.2523e+01 2.1295e+01 9.4966e+00 1.5489e+00 0.0000e+00
1.2613e+01 2.1287e+01 9.5308e+00 1.5713e+00 0.0000e+00
1.2703e+01 2.1275e+01 9.5606e+00 1.5938e+00 0.0000e+00
